,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,259.525,260.4797867,260.375,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,9992,9828,9659,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.75,,original,,,,3815,-15533,,73,76
624,90.3044078,99.0862235,96.75083838,4,4,6,79.89955556,80.468,79.575,7.46E-01,0.6406027233,0.4738823683,4,4,4,0,0,2,97,7,,,,,0.75,,94.93041923,21,147.44,94.93041923,7,-14,0.7,,
630,90.54478426,99.11243781,96.80266689,4,4,6,78.49768508,80.075505,80.025,5.88E-01,0.6918667002,0.4564515111,4,4,4,0,0,2,97,7,,,,,0.75,,94.98838729,21,124.56,94.98838729,6,-15,0.7,,
636,90.6947394,99.12612923,96.88211823,4,4,6,78.889075,78.78426667,79.75,6.99E-01,0.6051079931,0.4393885096,4,4,4,0,0,2,97,7,,,,,0.75,,94.98872801,21,90.4,94.98872801,5,-16,0.7,,
642,90.83848647,99.13882576,96.92946255,4,4,6,79.28182556,79.11444444,79.675,7.43E-01,0.6159362022,0.4739610003,4,4,4,0,0,2,97,7,,,,,0.75,,94.99588183,21,55.72,94.99588183,3,-18,0.7,,
648,90.98146472,99.15087181,96.97610045,4,4,6,80.25,79.52099167,79.75,7.40E-01,0.7343661238,0.4918365008,4,4,4,0,0,2,97,7,,,,,0.75,,95.01621295,21,24.88,95.01621295,2,-19,0.7,,
654,91.11414787,99.16256625,97.02020063,4,4,6,79.8,79.85,79.975,7.46E-01,0.6917790963,0.452170452,4,4,4,0,0,2,97,7,,,,,0.75,,95.05088313,21,19.04,95.05088313,1,-20,0.7,,
660,91.31666027,99.18098344,97.06250558,4,4,6,79.95,80.13418288,80.05,6.41E-01,0.7313081681,0.4787141107,4,4,4,0,0,2,97,7,,,,,0.75,,95.09206673,21,26.8,95.09206673,2,-19,0.7,99.02290099,
666,91.4470099,99.19336996,97.13323757,4,4,6,80.4,79.9,80.125,7.54E-01,0.7439182484,0.4975849264,4,4,4,0,0,2,97,7,,,,,0.75,,95.1239985,21,35.76,95.1239985,2,-19,0.7,,
672,91.56314625,99.20378425,97.17444921,4,4,6,79.75,79.825,80.125,7.27E-01,0.6485591447,0.4320977092,4,4,4,0,0,2,97,7,,,,,0.75,,95.16110351,21,38.28,95.16110351,2,-19,0.7,,
678,91.68870223,99.21450066,97.21448908,4,4,6,80.125,80.45,80.35,6.97E-01,0.7219207192,0.4541188165,4,4,4,0,0,2,97,7,,,,,0.75,,95.19023485,21,38.16,95.19023485,2,-19,0.7,,
684,91.80677282,99.22471529,97.25328941,4,4,6,80.625,80.075,80.7,7.58E-01,0.6656945923,0.4386575591,4,4,4,0,0,2,97,7,,,,,0.75,,95.20238087,21,34.04,95.20238087,2,-19,0.7,,
690,91.98680556,99.2437507,97.2905914,4,4,6,81.275,81.125,81.3,6.94E-01,0.6828952934,0.484944989,4,4,4,0,0,2,97,7,,,,,0.75,,95.21532902,21,25.96,95.21532902,2,-19,0.7,,
696,92.09524474,99.25512864,97.35252102,4,4,6,82.475,82.05,82.425,7.25E-01,0.721014938,0.4689666331,4,4,4,0,0,2,97,7,,,,,0.75,,95.23039323,21,22.92,95.23039323,2,-19,0.7,,
