,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,52.28,153.28,151.8,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75
588,33.93445807,97.40204332,92.3838907,2,11,9,34.92,149.96,148.92,0.152313367,0.3641542749,4.62E-01,5,7,7,-3,4,2,98,7,,,,,0.65,,93.89028227,21,132.64,93.89028227,7,-14,0.7
594,33.51061279,97.4623248,92.55800959,2,11,9,39.04,150.88,148.4,0.3211740861,0.349990646,4.09E-01,5,7,7,-3,4,2,98,7,,,,,0.65,,94.10122162,21,146.68,94.10122162,7,-14,0.7
600,32.99010844,97.52154234,92.73492429,2,11,9,40.76,151.76,150.12,0.4579130089,0.3795233391,5.12E-01,6,7,7,-4,4,2,98,7,,,,,0.65,,94.28946277,21,150.76,94.28946277,7,-14,0.7
606,32.55246443,97.57064358,92.81643979,2,11,9,35.2,148.16,149.36,0.7035310538,0.3774011518,5.02E-01,5,7,7,-3,4,2,98,7,,,,,0.65,,94.45630478,21,149.52,94.45630478,7,-14,0.7
612,32.13061533,97.58601238,92.84201782,2,11,9,27.44,121.28,126.6,0.6921632264,0.4029750458,5.40E-01,4,6,6,-2,5,3,98,7,,,,,0.65,,94.62581158,21,149.4,94.62581158,7,-14,0.7
618,31.32273841,97.5924016,92.84489785,2,11,9,26.32,79.76,91.36,0.6578430259,0.3337357902,4.35E-01,4,4,5,-2,7,4,98,7,,,,,0.65,,94.79148941,21,150.6,94.79148941,7,-14,0.7
624,30.87712972,97.59458562,92.87858414,1,11,9,26.84,47.68,51.76,0.9986510913,0.2574941199,3.49E-01,4,3,3,-3,8,6,98,7,,,,,0.65,,94.93041923,21,147.44,94.93041923,7,-14,0.7
630,30.67595153,97.60752357,92.91763485,1,11,9,27.48,23.76,28.12,0.7321277592,0.1963801729,3.03E-01,4,2,2,-3,9,7,98,7,,,,,0.65,,94.98838729,21,124.56,94.98838729,6,-15,0.7
636,30.31938406,97.62220478,92.95066246,1,11,9,27.32,22.84,18.32,0.9945796324,0.1147147696,1.65E-01,4,1,1,-3,10,8,98,7,,,,,0.65,,94.98872801,21,90.4,94.98872801,5,-16,0.7
642,29.71236184,97.63611701,93.01571327,1,11,9,22.12,33.8,26.12,0.731430438,0.06379183027,9.15E-02,4,2,2,-3,9,7,98,7,,,,,0.65,,94.99588183,21,55.72,94.99588183,3,-18,0.7
648,29.71375859,97.65891998,93.06333822,1,11,9,16.08,43.63895385,35.08,0.9939996573,0.07371168226,8.10E-02,3,2,2,-2,9,7,98,7,,,,,0.65,,95.01621295,21,24.88,95.01621295,2,-19,0.7
654,29.72157687,97.67210402,93.10081673,2,10,9,10,44.84,37.92,0.8118854616,0.09729745149,9.04E-02,2,2,2,0,8,7,98,7,,,,,0.65,,95.05088313,21,19.04,95.05088313,1,-20,0.7
660,30.32893716,97.68548544,93.12710944,2,10,9,9.8234,43.96,37.52,0.4418365413,0.1040889399,1.05E-01,2,2,2,0,8,7,98,7,,,,,0.65,,95.09206673,21,26.8,95.09206673,2,-19,0.7
666,32.11956343,97.6911608,93.11866723,2,10,9,16.56530667,38.44,35.68,0.4237844282,0.1125548146,1.24E-01,3,2,2,-1,8,7,98,7,,,,,0.65,,95.1239985,21,35.76,95.1239985,2,-19,0.7
