,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,,,,,,,0.75
522,59.0391533,85.39082407,98.57794821,4,9,10,94.16,142.2812385,147.6,0.7593887482,0.4591427053,0.374684509,7,8,7,-3,1,3,98,7,,,,,0.65,,,,,,,,0.75
528,59.42874435,85.70347989,98.60452452,4,9,10,95.96,143.0025028,146.88,0.7669703837,0.4789505953,0.3364716653,7,8,7,-3,1,3,98,7,,,,,0.65,,,,,,,,0.75
534,59.55641441,85.97197931,98.62355174,4,9,10,94.92,142.04,146.08,0.6502983745,0.4122341756,0.4014314555,7,8,7,-3,1,3,98,7,,,,,0.65,,,,,,,,0.75
540,59.81647565,86.20665324,98.64606235,4,9,10,95.64,141.92,146.04,0.7031474943,0.4863677131,0.3709839471,7,8,7,-3,1,3,98,7,,,,,0.65,,,,,,,,0.75
546,60.29980609,86.54902203,98.66515888,4,9,10,92.48,142.2,144.918253,0.7573315706,0.4749564333,0.3976345269,7,8,7,-3,1,3,98,7,,,,,0.65,,,,,,,,0.75
552,60.68862453,86.75250252,98.68300043,6,9,10,88.76,140.9614593,144.84,0.6246213992,0.4533353203,0.3907022079,7,7,7,-1,2,3,98,7,,,,,0.65,,,,,,,,0.75
558,60.91791108,87.01236102,98.70481889,6,9,10,92.88386667,140.44,143.72,0.519504452,0.4536607828,0.4131459971,7,7,7,-1,2,3,98,7,,,,,0.65,,,,,,,,0.75
564,61.46401796,87.18109464,98.72109444,6,9,10,93.71946333,137.48,143.48,0.4976024985,0.4231348564,0.4140001327,7,7,7,-1,2,3,98,7,,,,,0.65,,,,,,,,0.75
570,62.03422612,87.37284921,98.73747225,6,8,10,95.88592533,136.24,142.0416802,0.6336779756,0.4850259376,0.4035313614,7,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
576,62.44602845,87.6463453,98.75223621,6,8,10,99.73466933,135.52,139.32,0.6273824836,0.5563602654,0.39016725,7,7,7,-1,1,3,98,7,,,,,0.65,,,,,,,,0.75
582,63.25713574,87.81949258,98.76678024,6,8,10,106.32,134.3986145,138.08,0.6497373751,0.5117531687,0.3828302438,8,7,6,-2,1,4,98,7,,,,,0.65,,,,,,,,0.75
588,64.01739752,88.01612128,98.78482546,6,8,10,110.68,131.96,135.68,0.6161554665,0.5087884008,0.3581095513,8,7,6,-2,1,4,98,7,,,,,0.65,,,,,,,,0.75
594,65.00332738,88.16386166,98.79790097,6,8,10,113.48,129.36,133.4,0.4350619988,0.4115490936,0.3916573931,8,7,6,-2,1,4,98,7,,,,,0.65,,,,,,,,0.75
600,65.71695166,88.30848425,98.81321439,6,8,10,115.24,126.4387297,130.48,0.6391706186,0.4991425983,0.3308526995,8,7,6,-2,1,4,98,7,,,,,0.65,,,,,,,,0.75
606,66.31686556,88.52698459,98.82532167,6,8,10,114.08,123.16,127.36,0.616898825,0.4862612672,0.3975518585,8,6,6,-2,2,4,98,7,,,,,0.65,,,,,,,,0.75
612,66.93351918,88.65436079,98.83639256,6,8,10,111.52,120.44,123.72,0.5845820548,0.4630089238,0.3359554035,8,6,6,-2,2,4,98,7,,,,,0.65,,,,,,,,0.75
618,67.4938355,88.80289809,98.85044695,6,8,10,108.6814977,116.84,120.24,0.4914096879,0.4652495939,0.3118059432,7,6,6,-1,2,4,98,7,,,,,0.65,,,,,,,,0.75
624,68.19174616,88.91976713,98.86060126,6,8,10,104.64,113.7987425,117.52,0.4885940509,0.3710525863,0.3423687604,7,6,6,-1,2,4,98,7,,,,,0.65,,,,,,,,0.75
630,68.67601475,89.02896703,98.8731256,6,8,10,100.12,109.4,114.44,0.5067771376,0.3437411831,0.2997787183,7,6,5,-1,2,5,98,7,,,,,0.65,,,,,,,,0.75
636,69.06807648,89.19369498,98.88185955,6,8,10,96.56,105.24,109.64,0.4302384698,0.4186083783,0.302413855,6,6,5,0,2,5,98,7,,,,,0.65,,,,,,,,0.75
642,69.5191542,89.28400938,98.88920675,6,8,10,92.2,101.3991745,104.04,0.4903244981,0.3784991253,0.2946634337,6,5,5,0,3,5,98,7,,,,,0.65,,,,,,,,0.75
648,69.88831478,89.39129569,98.89994444,6,8,10,88.24,97.68,100,0.4694979182,0.3897921424,0.2756607522,6,5,5,0,3,5,98,7,,,,,0.65,,,,,,,,0.75
654,70.36338747,89.47841519,98.90772098,6,8,10,83.64,93.2,96.44,0.4316497786,0.2794270521,0.2778333504,6,5,5,0,3,5,98,7,,,,,0.65,,,,,,,,0.75
660,70.67699881,89.54028409,98.91666951,6,8,9,79.12,86.8,91.92,0.3854587325,0.2954298181,0.2897122796,5,5,4,1,3,5,98,7,,,,,0.65,,,,,,,,0.75
666,70.94279923,89.66972823,98.92307507,6,8,9,74.48,83.64,87.12,0.365688418,0.3354156962,0.2718997606,5,4,4,1,4,5,98,7,,,,,0.65,,,,,,,,0.75
672,71.25214699,89.73365654,98.9282048,6,7,9,71,78.8,81.56,0.3985035519,0.3595875889,0.2525768514,5,4,4,1,3,5,98,7,,,,,0.65,,,,,,,,0.75
678,71.50706233,89.80234695,98.93637216,6,7,9,67.8,74.32,77.8,0.3418879036,0.3009468787,0.2353451455,5,4,4,1,3,5,98,7,,,,,0.65,,,,,,,,0.75
684,71.8541371,89.86407511,98.94194004,6,7,9,65.08,71.84,75.28,0.3182214188,0.2596932329,0.2291188838,4,4,4,2,3,5,98,7,,,,,0.65,,,,,,,,0.75
690,72.08090587,89.91847541,98.94906626,6,7,9,62.24,69.56,72.52,0.2840102547,0.2947289792,0.1912645436,4,4,4,2,3,5,98,7,,,,,0.65,,,,,,,,0.75
696,72.27645833,90.01889774,98.95347524,6,7,8,59.6,66.48,68.52,0.2861685925,0.305201754,0.2348214222,4,4,3,2,3,5,98,7,,,,,0.65,,,,,,,,0.75
702,72.50081587,90.06855784,98.95746111,6,7,8,57.68,64.12,65.48,0.2604102319,0.2686861754,0.2270877594,4,4,3,2,3,5,98,7,,,,,0.65,,,,,,,,0.75
708,72.68169266,90.11637133,98.96364626,6,7,8,55.04,60.36,62.64,0.2435771186,0.2499941201,0.1904496524,4,3,3,2,4,5,98,7,,,,,0.65,,,,,,,,0.75
714,72.9374504,90.16259239,98.96786133,6,7,8,52.16,58.64,60.28,0.2424517951,0.2511777504,0.2008555047,4,3,3,2,4,5,98,7,,,,,0.65,,,,,,,,0.75
720,73.10982381,90.20501583,98.97366414,6,7,8,49.84,56.64,57.96,0.2562150375,0.2394249825,0.1931772129,3,3,3,3,4,5,98,7,,,,,0.65,,,,,,,,0.75
726,73.24916394,90.28847364,98.97704654,6,7,8,48,54.56,56.24,0.2340559739,0.2665882308,0.2062790212,3,3,3,3,4,5,98,7,,,,,0.65,,,,,,,,0.75
732,73.42276129,90.32745756,98.97996653,6,7,8,46,52.44,51.84,0.2184079714,0.2520649034,0.1772126045,3,3,3,3,4,5,98,7,,,,,0.65,,,,,,,,0.75
738,73.52661881,90.35760418,98.98426562,6,6,6,41.76,48,48.88,0.2067785316,0.2351486198,0.2046119535,3,3,3,3,3,3,98,7,,,,,0.65,,,,,,,,0.75
744,73.72096776,90.38955388,98.98736236,6,6,6,38.92,46.16,47.48,0.1728081704,0.2172819906,0.2200080417,3,3,3,3,3,3,98,7,,,,,0.65,,,,,,,,0.75
750,73.84374835,90.41612458,98.99187151,6,6,6,37.08,43.24,45.52,0.2001427714,0.2018621159,0.1912532193,3,3,2,3,3,4,98,7,,,,,0.65,,,,,,,,0.75
756,73.95472302,90.4788658,98.9928569,5,6,6,34.52,39.76,40.04,0.2018149823,0.2261780556,0.1756377561,2,2,2,3,4,4,98,7,,,,,0.65,,,,,,,,0.75
762,74.0373606,90.50257147,98.99491857,4,6,6,33.12,37.56,38.08,0.2643040754,0.187414734,0.2032384749,2,2,2,2,4,4,98,7,,,,,0.65,,,,,,,,0.75
768,74.11784082,90.51870058,98.99875457,4,6,6,30.72,33.2,35.08,0.2630326064,0.1779699966,0.1819050533,2,2,2,2,4,4,98,7,,,,,0.65,,,,,,,,0.75
774,74.2716115,90.53787931,99.00064961,4,6,4,28.8,31.24,32.72,0.1925933062,0.1730151122,0.2292480937,2,2,2,2,4,2,98,7,,,,,0.65,,,,,,,,0.75
780,74.34223931,90.55552344,99.00301222,4,6,4,26.24,29.6,28.6,0.2060283557,0.1638349018,0.2126319804,2,2,2,2,4,2,98,7,,,,,0.65,,,,,,,,0.75
786,74.38798759,90.60213529,99.004136,3,6,4,22.36,26.2,26.4,0.2003650637,0.144714299,0.1851468694,2,2,2,1,4,2,98,7,,,,,0.65,,,,,,,,0.75
792,74.43307087,90.61441134,99.0048647,3,6,4,20.6,23.92,23.8,0.1860498124,0.113902676,0.1967516839,2,2,2,1,4,2,98,7,,,,,0.65,,,,,,,,0.75
798,74.47236308,90.61471661,99.00742277,3,6,4,19,20.08,21.2,0.1995283753,0.118852565,0.1728630931,2,1,1,1,5,3,98,7,,,,,0.65,,,,,,,,0.75
804,74.57654958,90.62244907,99.00805211,3,6,4,16.56,17.32,19.08,0.1600826444,0.1134140463,0.1651842219,1,1,1,2,5,3,98,7,,,,,0.65,,,,,,,,0.75
810,74.59473368,90.62772901,99.01013559,3,5,3,13.92,14.76,15.56,0.1698750975,0.100980075,0.1589308323,1,1,1,2,4,2,98,7,,,,,0.65,,,,,,,,0.75
816,74.60643097,90.658537,99.00988048,3,5,3,11.16,11.84,13.16,0.1505119653,0.09533942712,0.1438572977,1,1,1,2,4,2,98,7,,,,,0.65,,,,,,,,0.75
