,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,145.72,146.64,146.04,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,5310,5349,5331,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75,73,76
444,98.72693884,98.12412281,99.6634532,3,4,3,69.48,60.724652,71.44,6.75E-01,6.00E-01,6.36E-01,3,3,4,0,1,-1,98,7,,,,,0.65,,89.07318955,21,39.12,89.07318955,2,-19,0.78,,
450,98.73476426,97.98510159,99.67092151,3,4,3,72.84,62.27840133,72.48,6.41E-01,4.93E-01,5.89E-01,4,3,4,-1,1,-1,98,7,,,,,0.65,,89.34888225,21,29.48,89.34888225,2,-19,0.78,,
456,98.75169504,98.12369551,99.67224931,3,4,3,74.6,68.72,74.4,5.74E-01,4.66E-01,5.85E-01,4,3,4,-1,1,-1,98,7,,,,,0.65,,89.79476734,21,45.32,89.79476734,3,-18,0.78,,
462,98.76026765,98.14470531,99.68061171,3,4,3,73.2,71.76,75.32,5.10E-01,4.53E-01,5.34E-01,4,4,4,-1,0,-1,98,7,,,,,0.65,,90.29469308,21,76.43965123,90.29469308,4,-17,0.78,,
468,98.49915335,98.03552759,99.69255362,3,4,3,70.8,72.32216986,76.84,6.69E-01,4.40E-01,5.78E-01,4,4,4,-1,0,-1,98,7,,,,,0.65,,90.74590016,21,108.12,90.74590016,6,-15,0.78,,
474,98.49709868,98.04581224,99.6987187,3,4,3,70.44,74.72,76.8,6.89E-01,5.13E-01,6.76E-01,4,4,4,-1,0,-1,98,7,,,,,0.65,,91.18512717,21,128.8,91.18512717,7,-14,0.78,,
480,98.48160067,98.07124823,99.59172162,3,4,3,71.48,76.04,75.6,6.86E-01,4.54E-01,6.39E-01,4,4,4,-1,0,-1,98,7,,,,,0.65,,91.57652058,21,138.84,91.57652058,7,-14,0.78,,
486,98.48436773,98.18504532,99.49312016,3,4,3,70.88,78.28,74.96,6.93E-01,4.48E-01,6.68E-01,4,4,4,-1,0,-1,98,7,,,,,0.65,,91.9425172,21,142.04,91.9425172,7,-14,0.78,,
492,98.38772643,98.20077276,99.49924016,3,4,3,75.08,79.76,74.12,5.69E-01,5.35E-01,6.60E-01,4,4,4,-1,0,-1,98,7,,,,,0.65,,92.27554642,21,141.88,92.27554642,7,-14,0.78,,
498,98.40968484,98.22631355,99.25482014,3,4,3,76.2,79.8,72.4,6.53E-01,5.19E-01,7.55E-01,4,4,4,-1,0,-1,98,7,,,,,0.65,,92.55323944,21,139.6,92.55323944,7,-14,0.78,,
504,98.20682586,98.25063036,99.26416413,3,4,3,74.92,80.44,74.8,6.20E-01,5.41E-01,6.99E-01,4,4,4,-1,0,-1,98,7,,,,,0.65,,92.77281934,21,129.44,92.77281934,7,-14,0.78,,
510,98.20984344,98.2022659,99.27253182,3,4,3,74.88,79.04,76.72,6.77E-01,5.62E-01,5.53E-01,4,4,4,-1,0,-1,98,7,,,,,0.65,,92.91058065,21,113.8,92.91058065,6,-15,0.78,,
516,98.02698775,98.10321827,99.11206091,3,4,3,75.28,79.32,75.12,7.20E-01,5.75E-01,5.81E-01,4,4,4,-1,0,-1,98,7,,,,,0.65,,92.97211105,21,84.35908818,92.97211105,4,-17,0.78,,
522,97.63663563,98.06064336,99.04528363,4,4,3,71.93338667,80.52,75.82762667,5.37E-01,5.73E-01,7.21E-01,4,4,4,0,0,-1,98,7,,,,,0.65,,92.98478103,21,56.32,92.98478103,3,-18,0.78,,
528,97.32067897,98.08773324,98.75979115,4,4,5,68.01506667,80.92,71.31989778,5.51E-01,5.49E-01,6.02E-01,3,4,4,1,0,1,98,7,,,,,0.65,,92.96923815,21,25.72,92.96923815,2,-19,0.78,,
534,97.18832406,98.13129673,98.69016865,4,4,5,66.69349,83.68,71.34687667,5.97E-01,6.02E-01,5.70E-01,3,4,4,1,0,1,98,7,,,,,0.65,,92.95634005,21,7.08,92.95634005,1,-20,0.78,,
540,96.9210998,98.16192245,98.66173086,4,4,5,64.48416,87.2,75.53740133,5.79E-01,6.17E-01,4.96E-01,3,4,4,1,0,1,98,7,,,,,0.65,,92.959943,21,0.24,92.959943,1,-20,0.78,,
546,96.73021252,98.19652687,98.67830546,4,4,5,67.76,87,79.24539867,5.21E-01,5.38E-01,4.69E-01,3,4,4,1,0,1,98,7,,,,,0.65,,92.97169647,21,0,92.97169647,0,-21,0.78,,
552,96.90961507,98.22440081,98.69478718,4,4,5,75.96,88.92,87.39804533,5.44E-01,5.78E-01,5.64E-01,4,4,4,0,0,1,98,7,,,,,0.65,,92.98383526,21,0.12,92.98383526,1,-20,0.78,,
558,96.85655644,98.23899998,98.71714579,4,4,5,78.92,89.04,90.44,5.61E-01,5.84E-01,5.89E-01,4,4,4,0,0,1,98,7,,,,,0.65,,92.983439,21,2.4,92.983439,1,-20,0.78,,
564,96.81895023,98.1777527,98.73777896,4,4,5,85.08,87.64,92.52,5.54E-01,5.81E-01,4.92E-01,4,4,4,0,0,1,98,7,,,,,0.65,,93.03382112,21,10.96,93.03382112,1,-20,0.78,,
570,96.83496916,98.20591202,98.78602894,4,4,5,87.56,89.36,93.84,6.32E-01,6.36E-01,5.85E-01,4,4,5,0,0,0,98,7,,,,,0.65,,93.20303957,21,35.12,93.20303957,2,-19,0.78,,
576,96.80394741,98.24478532,98.7774302,4,4,5,87.82,90.68,93.56,5.33E-01,5.38E-01,5.88E-01,4,4,5,0,0,0,98,7,,,,,0.65,,93.43574783,21,69.2,93.43574783,4,-17,0.78,,
582,96.78927399,98.21542593,98.79633412,4,4,5,87.88,90.12,96.28,6.30E-01,5.48E-01,5.08E-01,4,4,5,0,0,0,98,7,,,,,0.65,,93.67742466,21,100.72,93.67742466,5,-16,0.78,,
588,96.77478909,98.24023214,98.81320494,4,4,5,88.08,92.12,96.04,6.81E-01,5.59E-01,5.50E-01,4,4,5,0,0,0,98,7,,,,,0.65,,93.89028227,21,132.64,93.89028227,7,-14,0.78,,
594,96.7866267,98.26190616,98.83258226,4,4,5,86.56,93,96.88,6.06E-01,6.61E-01,5.70E-01,4,5,5,0,-1,0,98,7,,,,,0.65,,94.10122162,21,146.68,94.10122162,7,-14,0.78,,
600,96.558635,98.28771117,98.86552293,4,4,5,82.88,94.56,99.44,6.89E-01,6.07E-01,5.71E-01,4,5,5,0,-1,0,98,7,,,,,0.65,,94.28946277,21,150.76,94.28946277,7,-14,0.78,,
606,96.37978328,98.24848119,98.83531616,4,4,5,81.56,94.68,99.2,5.81E-01,5.80E-01,5.12E-01,4,5,5,0,-1,0,98,7,,,,,0.65,,94.45630478,21,149.52,94.45630478,7,-14,0.78,,
612,96.32555971,98.26582319,98.73609464,4,4,5,82.12,94.6,98,6.11E-01,6.78E-01,4.98E-01,4,5,5,0,-1,0,98,7,,,,,0.65,,94.62581158,21,149.4,94.62581158,7,-14,0.78,,
618,96.34120619,98.12744453,98.76045931,4,5,5,85.44,95.29572,95.8,6.22E-01,5.70E-01,5.11E-01,4,5,5,0,0,0,98,7,,,,,0.65,,94.79148941,21,150.6,94.79148941,7,-14,0.78,,
624,96.33803105,97.92392741,98.66454474,4,5,5,89.56,88.60821778,94,4.99E-01,5.89E-01,5.05E-01,4,4,5,0,1,0,98,7,,,,,0.65,,94.93041923,21,147.44,94.93041923,7,-14,0.78,,
630,96.27680568,97.62118987,98.70547857,4,5,5,91.92,84.91675667,95.08,6.53E-01,5.88E-01,5.75E-01,5,4,5,-1,1,0,98,7,,,,,0.65,,94.98838729,21,124.56,94.98838729,6,-15,0.78,,
636,96.22696025,97.52032881,98.72079631,4,5,5,95.04,83.03101333,98.72,5.50E-01,5.06E-01,5.05E-01,5,4,5,-1,1,0,98,7,,,,,0.65,,94.98872801,21,90.4,94.98872801,5,-16,0.78,,
642,96.08459985,97.62702712,98.74329096,4,5,5,89.8,86.10304,101.76,5.69E-01,5.69E-01,5.68E-01,4,4,5,0,1,0,98,7,,,,,0.65,,94.99588183,21,55.72,94.99588183,3,-18,0.78,,
648,95.99990651,97.62423416,98.76741956,4,5,5,89.52,92.68,104.92,6.53E-01,5.08E-01,5.39E-01,4,5,5,0,0,0,98,7,,,,,0.65,,95.01621295,21,24.88,95.01621295,2,-19,0.78,,
654,95.90007071,97.65633332,98.78437875,4,5,5,89.36,100.32,105.56,4.91E-01,6.00E-01,5.59E-01,4,5,5,0,0,0,98,7,,,,,0.65,,95.05088313,21,19.04,95.05088313,1,-20,0.78,,
