,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,27.77197648,247.25448,266.15,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,1723,12012,1,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,,73,76
402,46.56906435,96.05289897,96.19322949,1,5,12,9.45912578,124.9,130.15,8.25E-01,0.8373420751,0.3764881012,1,6,6,0,-1,6,97,7,,,,,0.65,,85.64990966,21,136.72,85.64990966,7,-14,0.7,,
408,46.5749604,95.47289733,96.29544046,1,5,12,9.915702243,127.825,133.1,8.51E-01,0.873162599,0.3676042925,1,6,6,0,-1,6,97,7,,,,,0.65,,86.71179565,21,145.88,86.71179565,8,-13,0.7,,
414,46.55037006,94.86195813,96.42019632,1,5,12,8.675,128.7715333,136.325,1.00E+00,0.866331989,0.3822171624,1,6,6,0,-1,6,97,7,,,,,0.65,,87.70750824,21,150.36,87.70750824,8,-13,0.7,,
420,46.63739227,93.70939397,96.5127966,2,7,12,8.8,133.7288722,138.875,4.99E-01,0.6385091987,0.3900900067,1,6,6,1,1,6,97,7,,,,,0.65,,88.36372973,21,142.6,88.36372973,8,-13,0.7,,
426,46.64617149,93.54407822,96.60814943,1,7,12,5.647210159,139.7810102,142.35,1.75E-01,0.6537808904,0.3611967527,1,7,6,0,0,6,97,7,,,,,0.65,,88.89013775,21,131.44,88.89013775,7,-14,0.7,,
432,46.48606962,93.71300648,96.69226819,1,7,12,4.24,141.5708759,144,2.04E-01,0.6412752582,0.4161021904,1,7,7,0,0,5,97,7,,,,,0.65,,89.05934187,21,104.88,89.05934187,6,-15,0.7,,
438,46.49298785,93.85969575,96.80155597,2,7,12,3.940251231,143.9184038,145.5432296,5.61E-01,0.6466017056,0.4268815726,1,7,7,1,0,5,97,7,,,,,0.65,,89.05038794,21,68.28,89.05038794,4,-17,0.7,,
444,46.38563012,94.04701797,96.87640275,2,7,12,2.485659825,144.7979889,147.925,5.48E-01,0.6762059655,0.4157097581,1,7,7,1,0,5,97,7,,,,,0.65,,89.07318955,21,39.12,89.07318955,2,-19,0.7,,
450,46.33644925,94.14428429,96.9480943,2,7,12,2.398054815,146.9652867,148.55,6.62E-01,0.7121972724,0.4126083508,1,7,7,1,0,5,97,7,,,,,0.65,,89.34888225,21,29.48,89.34888225,2,-19,0.7,,
456,46.37300762,94.30962793,97.02666484,1,7,12,2.628637037,149.4228378,149.65,7.03E-01,0.6849488859,0.4265528951,1,7,7,0,0,5,97,7,,,,,0.65,,89.79476734,21,45.32,89.79476734,3,-18,0.7,,
462,45.7676726,94.44132981,97.09245146,1,7,12,5.035011671,151.175,148.6009732,7.03E-01,0.7325342588,0.4422340653,1,7,7,0,0,5,97,7,,,,,0.65,,90.29469308,21,76.43965123,90.29469308,4,-17,0.7,,
468,44.37772831,94.54841199,97.17830427,1,7,12,8.127031758,149.8821429,150.45,7.91E-01,0.7761057305,0.4329046886,1,7,7,0,0,5,97,7,,,,,0.65,,90.74590016,21,108.12,90.74590016,6,-15,0.7,,
474,44.40611456,94.69295393,97.23507181,1,7,12,8.2,150.075,150.075,7.18E-01,0.7048502539,0.432683892,1,7,7,0,0,5,97,7,,,,,0.65,,91.18512717,21,128.8,91.18512717,7,-14,0.7,,
480,44.23206568,94.82601718,97.29625352,2,7,12,8.625,150.325,149.25,6.68E-01,0.7665764025,0.4590689709,1,7,7,1,0,5,97,7,,,,,0.65,,91.57652058,21,138.84,91.57652058,7,-14,0.7,,
486,43.0098451,94.91197808,97.35489172,1,7,12,10.15192889,150.075,149.65,3.40E-01,0.7969726202,0.4084371743,1,7,7,0,0,5,97,7,,,,,0.65,,91.9425172,21,142.04,91.9425172,7,-14,0.7,,
492,41.62692776,94.95089648,97.40681986,1,7,12,13.29238688,150,149.825,5.03E-01,0.7768953347,0.4659065483,2,7,7,-1,0,5,97,7,,,,,0.65,,92.27554642,21,141.88,92.27554642,7,-14,0.7,,
498,41.69405815,95.04502033,97.47568184,2,7,12,13.07263201,149.95,153.9,7.87E-01,0.7561533998,0.4553026613,2,7,7,0,0,5,97,7,,,,,0.65,,92.55323944,21,139.6,92.55323944,7,-14,0.7,,
504,41.72986932,94.64896668,97.52351697,2,7,12,11.20952381,152.2821429,159.3,8.50E-01,0.7437462928,0.4357528786,2,7,7,0,0,5,97,7,,,,,0.65,,92.77281934,21,129.44,92.77281934,7,-14,0.7,,
510,41.22598039,94.5579452,97.57863684,2,7,12,12.43148148,155.0071429,166.9,7.06E-01,0.7410642193,0.4720015925,2,7,7,0,0,5,97,7,,,,,0.65,,92.91058065,21,113.8,92.91058065,6,-15,0.7,,
516,41.12621336,93.68947254,97.63298523,1,8,12,12.9781226,160.4282383,170.275,5.96E-01,0.6496586631,0.4367367159,2,7,8,-1,1,4,97,7,,,,,0.65,,92.97211105,21,84.35908818,92.97211105,4,-17,0.7,,
522,41.14526398,92.39890276,97.58986018,1,8,12,11.43888889,168.5543667,177.325,7.88E-01,0.7211169436,0.5189653531,2,8,8,-1,0,4,97,7,,,,,0.65,,92.98478103,21,56.32,92.98478103,3,-18,0.7,,
528,40.62147314,92.14609519,97.56088245,2,8,12,11.33218885,171.8354368,183.675,5.00E-01,0.7680512005,0.4952394062,2,8,8,0,0,4,97,7,,,,,0.65,,92.96923815,21,25.72,92.96923815,2,-19,0.7,,
534,38.80963289,90.48219263,97.60245918,2,8,12,11.80780571,182.4650286,182.725,4.14E-01,0.727093527,0.5155139555,2,9,8,0,-1,4,97,7,,,,,0.65,,92.95634005,21,7.08,92.95634005,1,-20,0.7,,
540,39.81012446,90.20407452,97.49037555,3,8,12,11.49188381,180.8491444,184.925,3.91E-01,0.7097918351,0.5615651177,2,9,8,1,-1,4,97,7,,,,,0.65,,92.959943,21,0.24,92.959943,1,-20,0.7,,
546,39.77332549,89.75812132,97.47059001,2,8,12,9.701493333,184.4709967,184.375,3.95E-01,0.7282521955,0.5324368262,1,9,8,1,-1,4,97,7,,,,,0.65,,92.97169647,21,0,92.97169647,0,-21,0.7,,
552,39.22369703,89.82226136,97.47576609,2,8,12,13.69768508,185.0821667,192.6986932,4.55E-01,0.7676643686,0.5425946281,2,9,8,0,-1,4,97,7,,,,,0.65,,92.98383526,21,0.12,92.98383526,1,-20,0.7,,
558,39.23247186,89.08669757,97.48389476,3,8,12,11.52903875,181.1734032,199.475,6.44E-01,0.815113086,0.5472727174,2,9,9,1,-1,3,97,7,,,,,0.65,,92.983439,21,2.4,92.983439,1,-20,0.7,,
564,38.82592121,86.73446691,96.75846255,3,8,12,13.85633206,190.8196171,196.525,5.72E-01,0.76875258,0.5864950791,2,9,9,1,-1,3,97,7,,,,,0.65,,93.03382112,21,10.96,93.03382112,1,-20,0.7,,
570,38.12797746,85.20235828,96.61032735,3,8,12,12.69185397,196.075,192.05,7.56E-01,0.800512206,0.593231576,2,10,9,1,-2,3,97,7,,,,,0.65,,93.20303957,21,35.12,93.20303957,2,-19,0.7,,
576,38.20323859,84.76394229,96.67495504,2,8,12,11.57048698,194.5392857,203.975,8.11E-01,0.8467323631,0.580175138,2,10,9,0,-2,3,97,7,,,,,0.65,,93.43574783,21,69.2,93.43574783,4,-17,0.7,,
582,38.00389926,84.22802304,96.71641169,2,8,15,14.41377587,192.3,218.0753933,7.84E-01,0.824183296,0.4932318217,2,10,10,0,-2,5,97,7,,,,,0.65,,93.67742466,21,100.72,93.67742466,5,-16,0.7,,
588,37.07758631,82.85073216,95.99687274,1,8,15,15.02226222,193.4071714,217.8141013,9.99E-01,0.8701640466,0.5102926251,2,10,10,-1,-2,5,97,7,,,,,0.65,,93.89028227,21,132.64,93.89028227,7,-14,0.7,,
594,37.23480981,81.96564805,95.95162642,1,8,15,15.62508751,184.8752766,204.669271,9.99E-01,0.8775427373,0.4922766297,2,10,9,-1,-2,6,97,7,,,,,0.65,,94.10122162,21,146.68,94.10122162,7,-14,0.7,,
